,files,label_err1_nor0
82,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G4/Suturing_B001_2496_2679.avi,1
72,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G4/Suturing_B001_3156_3308.avi,0
32,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G4/Suturing_B001_4847_4983.avi,0
112,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G4/Suturing_B002_1116_1272.avi,0
3,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G4/Suturing_B002_1891_2011.avi,0
71,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G4/Suturing_B002_2773_2877.avi,0
70,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G4/Suturing_B003_1395_1526.avi,0
65,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G4/Suturing_B003_2196_2370.avi,0
73,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G4/Suturing_B003_702_919.avi,0
80,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G4/Suturing_B004_1604_1722.avi,0
83,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G4/Suturing_B004_2327_2429.avi,0
44,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G4/Suturing_B004_877_1015.avi,0
67,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G4/Suturing_B005_1116_1186.avi,1
48,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G4/Suturing_B005_1668_1779.avi,0
86,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G4/Suturing_B005_2235_2329.avi,0
111,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G4/Suturing_C001_1794_1915.avi,0
47,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G4/Suturing_C001_2411_2529.avi,0
76,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G4/Suturing_C001_855_1039.avi,0
78,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G4/Suturing_C002_2164_2334.avi,0
45,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G4/Suturing_C002_902_1029.avi,0
42,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G4/Suturing_C003_1489_1607.avi,0
69,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G4/Suturing_C003_2058_2212.avi,0
91,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G4/Suturing_C003_830_956.avi,0
