,files,label_err1_nor0
3,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_B001_220_370.avi,0
8,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_B002_79_203.avi,0
19,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_B003_104_180.avi,0
10,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_B004_47_103.avi,0
25,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_B005_12_101.avi,0
2,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_C001_68_191.avi,0
30,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_C002_1_101.avi,0
35,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_C003_50_150.avi,0
27,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_C004_31_141.avi,0
21,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_C005_57_139.avi,0
11,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_D001_146_196.avi,0
0,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_D002_78_129.avi,0
4,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_D003_92_151.avi,0
29,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_D005_58_134.avi,0
16,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_E001_120_245.avi,0
13,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_E002_78_158.avi,0
6,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_E003_143_195.avi,0
17,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_E004_131_170.avi,0
24,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_E005_50_91.avi,0
14,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_F001_86_164.avi,0
20,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_F003_1_88.avi,0
22,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_F004_1_53.avi,0
18,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_F005_68_133.avi,0
34,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_G001_1_149.avi,0
32,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_G001_1132_1225.avi,0
23,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_G002_1_94.avi,0
36,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_G004_1_21.avi,0
31,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_G005_1_99.avi,0
12,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_H001_166_317.avi,0
9,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_H003_91_245.avi,1
7,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_H004_76_193.avi,0
15,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_H005_1_131.avi,0
28,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_I001_31_164.avi,0
26,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_I002_57_145.avi,0
33,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_I003_256_357.avi,0
5,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_I004_62_178.avi,0
1,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G5/Suturing_I005_152_241.avi,0
