,files,label_err1_nor0
31,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_B001_1440_1698.avi,1
4,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_B001_371_590.avi,1
37,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_B001_4012_4321.avi,1
17,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_B001_955_1097.avi,1
44,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_B002_204_550.avi,1
20,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_B004_2430_2564.avi,1
7,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_B005_102_446.avi,1
43,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_C001_1040_1191.avi,0
13,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_C001_192_305.avi,0
15,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_C002_102_328.avi,0
1,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_C002_1030_1207.avi,0
45,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_C003_151_365.avi,0
0,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_C004_142_257.avi,0
6,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_C005_1161_1282.avi,0
8,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_C005_140_214.avi,0
9,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_D001_197_350.avi,0
41,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_D003_152_217.avi,0
2,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_D004_191_275.avi,0
30,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_D005_135_221.avi,0
40,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_E003_1095_1267.avi,0
35,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_F001_165_215.avi,0
12,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_F002_1_88.avi,1
19,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_F003_89_169.avi,0
39,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_F004_54_134.avi,0
42,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_F005_134_203.avi,0
22,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_G001_150_366.avi,1
28,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_G001_2419_2620.avi,1
38,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_G001_2855_2990.avi,1
26,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_G001_3112_3509.avi,1
33,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_G001_3647_4096.avi,1
32,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_G001_5004_5632.avi,1
11,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_G001_7656_8181.avi,1
23,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_G002_2463_2670.avi,1
29,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_G002_95_188.avi,1
27,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_G003_1_406.avi,1
5,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_G003_1993_2174.avi,1
24,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_G003_3838_4421.avi,1
34,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_G004_22_416.avi,1
3,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_G005_100_202.avi,1
47,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_H001_318_552.avi,0
46,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_H003_246_434.avi,0
21,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_H004_194_381.avi,0
16,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_H005_132_320.avi,0
25,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_I001_165_358.avi,0
14,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_I002_146_500.avi,0
10,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_I003_358_654.avi,0
36,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_I004_179_394.avi,0
18,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G8/Suturing_I005_242_518.avi,0
