,files,label_err1_nor0
23,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_B001_1098_1124.avi,0
25,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_B001_1402_1439.avi,0
121,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_B001_1699_1783.avi,1
100,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_B001_2680_2750.avi,0
42,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_B001_3309_3659.avi,1
90,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_B001_4322_4374.avi,0
40,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_B001_4984_5059.avi,0
7,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_B001_591_660.avi,0
79,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_B002_1273_1402.avi,0
77,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_B002_2012_2094.avi,0
65,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_B002_2878_2936.avi,0
150,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_B002_551_613.avi,0
157,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_B003_1527_1595.avi,0
15,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_B003_181_221.avi,0
24,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_B003_2371_2436.avi,0
69,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_B003_920_982.avi,0
14,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_B004_1016_1417.avi,1
146,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_B004_104_128.avi,0
31,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_B004_1723_1799.avi,0
145,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_B004_2565_2860.avi,0
134,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_B005_1187_1261.avi,0
131,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_B005_1780_1845.avi,0
107,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_B005_2330_2372.avi,0
29,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_B005_447_516.avi,0
161,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_C001_1192_1354.avi,1
154,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_C001_1916_2016.avi,0
111,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_C001_2530_2623.avi,0
137,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_C001_306_413.avi,0
4,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_C002_1208_1321.avi,1
44,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_C002_1686_1859.avi,0
86,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_C002_2335_2412.avi,0
76,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_C002_329_461.avi,1
116,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_C003_1608_1707.avi,0
112,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_C003_2213_2259.avi,0
1,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_C003_366_474.avi,1
28,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_C003_957_1160.avi,0
120,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_C004_1323_1411.avi,0
39,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_C004_1776_1876.avi,0
110,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_C004_258_313.avi,0
87,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_C004_711_843.avi,0
143,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_C005_1283_1360.avi,0
141,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_C005_1682_1750.avi,0
142,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_C005_215_299.avi,0
82,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_C005_571_676.avi,1
53,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_D001_1053_1149.avi,0
128,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_D001_1773_1882.avi,0
88,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_D001_2244_2313.avi,0
19,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_D001_351_425.avi,0
92,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_D002_1086_1172.avi,0
6,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_D002_130_182.avi,0
32,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_D002_1564_1613.avi,0
155,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_D002_631_721.avi,0
135,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_D003_1241_1265.avi,0
62,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_D003_1340_1420.avi,0
56,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_D003_1760_1805.avi,0
60,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_D003_218_254.avi,0
152,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_D003_743_797.avi,0
26,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_D004_1354_1408.avi,0
66,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_D004_2155_2254.avi,0
126,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_D004_276_326.avi,0
144,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_D004_737_780.avi,0
54,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_D005_1012_1115.avi,0
10,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_D005_1434_1496.avi,0
80,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_D005_222_294.avi,0
104,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_D005_622_689.avi,0
98,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_E001_1077_1146.avi,0
13,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_E001_1764_1843.avi,0
63,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_E001_246_341.avi,0
64,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_E001_2574_2642.avi,0
109,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_E002_1514_1569.avi,0
78,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_E002_159_236.avi,0
5,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_E002_2035_2093.avi,0
70,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_E002_985_1051.avi,0
159,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_E003_1268_1332.avi,0
125,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_E003_1778_1850.avi,0
72,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_E003_196_253.avi,0
113,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_E003_690_744.avi,0
108,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_E004_1436_1484.avi,0
41,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_E004_171_237.avi,0
3,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_E004_2142_2188.avi,0
114,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_E004_805_867.avi,0
75,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_E005_1171_1216.avi,0
67,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_E005_1641_1697.avi,0
59,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_E005_645_739.avi,0
122,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_E005_92_141.avi,0
96,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_F001_1370_1475.avi,0
129,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_F001_1996_2199.avi,1
149,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_F001_216_294.avi,0
58,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_F001_855_934.avi,0
45,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_F002_1251_1336.avi,0
48,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_F002_1682_1776.avi,0
47,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_F002_687_767.avi,0
99,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_F002_89_147.avi,0
117,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_F003_1115_1205.avi,0
55,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_F003_1566_1679.avi,1
57,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_F003_170_221.avi,0
148,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_F003_590_645.avi,0
36,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_F004_1177_1258.avi,0
106,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_F004_135_217.avi,0
127,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_F004_1763_1873.avi,0
61,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_F004_590_668.avi,0
11,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_F005_1377_1470.avi,0
153,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_F005_204_249.avi,0
51,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_F005_602_659.avi,0
94,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_F005_963_1050.avi,0
123,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_G001_1354_1477.avi,1
83,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_G001_2621_2670.avi,0
162,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_G001_3510_3564.avi,0
50,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_G001_367_498.avi,0
74,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_G001_4717_4835.avi,0
102,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_G001_6407_6520.avi,0
164,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_G001_8182_8280.avi,0
71,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_G002_1583_1627.avi,0
35,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_G002_189_239.avi,0
160,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_G002_2186_2232.avi,0
97,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_G002_817_905.avi,0
93,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_G003_1073_1109.avi,0
132,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_G003_1641_1725.avi,0
27,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_G003_2175_2229.avi,0
101,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_G003_3791_3837.avi,0
115,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_G003_407_483.avi,0
43,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_G003_4422_4534.avi,0
103,/home/student/Documents/Research/IJCARS/Gesture_Clips/Suturing/G2/Suturing_G004_1408_1488.avi,0
